id.only,url,author,title,year,multiple_grad_year,degree_level,degree_name,downloads
66424,http://hdl.handle.net/1957/59351,"Prive, Sean","Overstory Structure and Community Characteristics of Oregon Ash (Fraxinus latifolia) Forests
of the Willamette Valley, Oregon",2017,-1,Master's,Master of Science (M.S.) in Forest Ecosystems and Society,95
66440,http://hdl.handle.net/1957/59440,"French, Jamie","Just Beneath the Surface : Analysis of Excavations at 35WS453, The Dalles Chinatown",2017,-1,Master's,Master of Arts (M.A.) in Applied Anthropology,98
66438,http://hdl.handle.net/1957/59450,"Smith, Emily M. (Emily Margaret)",Students' Understanding of Complex Numbers in Middle-Division Physics,2017,-1,Doctoral,Doctor of Philosophy (Ph. D.) in Physics,47
66410,http://hdl.handle.net/1957/59398,"Bair, Russell",Modeling Large Wood Impacts on Stream Hydrodynamics and Juvenile Salmon Habitat,2017,-1,Master's,Master of Science (M.S.) in Water Resources Engineering,141
66577,http://hdl.handle.net/1957/59448,"Barmore, Brenton",Fused Filament Fabrication of Filled Polymers for Metal Additive Manufacturing,2017,-1,Master's,Master of Science (M.S.) in Mechanical Engineering,7
66600,http://hdl.handle.net/1957/59456,"Skeele, Ryan",Planning Under Uncertainty for Unmanned Aerial Vehicles,2017,-1,Master's,Master of Science (M.S.) in Robotics,133
66632,http://hdl.handle.net/1957/59475,"Raymond, Alyssa M.",Encoding Accuracy in Interpersonal Relationships : A New Measure of Encoding Ability,2017,-1,Master's,Master of Arts in Interdisciplinary Studies (M.A.I.S.),74
66712,http://hdl.handle.net/1957/59550,"Moore, Marian",Factors Associated with Job Satisfaction among Foreign-Born Faculty at Community Colleges within the United States,2017,-1,Doctoral,Doctor of Philosophy (Ph. D.) in Education,5
66660,http://hdl.handle.net/1957/59553,"Miranda-Garcia, Omar","Metabolic Effects in C57B/6J Mice Fed a High-Fat Diet Supplemented With Walnuts, Raspberries and Other Whole Foods",2017,-1,Master's,Master of Science (M.S.) in Food Science and Technology,75
66731,http://hdl.handle.net/1957/59651,"Dabbagh, Mehiar",Energy-Efficient Resource Management Techniques for Cloud Data Centers,2017,-1,Doctoral,Doctor of Philosophy (Ph. D.) in Electrical and Computer Engineering,5
66841,http://hdl.handle.net/1957/59700,"Driscoll, Connor B.",Comparative Genomics of Freshwater Bloom-Forming Cyanobacteria and Associated Organisms,2017,-1,Doctoral,Doctor of Philosophy (Ph. D.) in Microbiology,56
66776,http://hdl.handle.net/1957/59597,"Walters, Eric M.",Stability and Liftoff of Non-premixed Large Hydrocarbon Flames in MILD Conditions,2017,-1,Master's,Master of Science (M.S.) in Mechanical Engineering,105
66823,http://hdl.handle.net/1957/59671,"Rahmattalabi, Aida",D‰â_‰â_: Structural Credit Assignment in Tightly Coupled Multiagent Domains,2017,-1,Master's,Master of Science (M.S.) in Robotics,69
66799,http://hdl.handle.net/1957/59678,"Knudtsen, Jonathan",Shear strengthening reinforced concrete bridge girders using near-surface mounted titanium alloy bars,2017,-1,Master's,Master of Science (M.S.) in Civil Engineering,34
66897,http://hdl.handle.net/1957/59718,"Spiese, Caroline E.",Internal Migration : The Role of Discrimination and Regionalism in Southern Italians' Self Construction of Identity,2017,-1,Master's,Master of Arts (M.A.) in Applied Anthropology,44
66972,http://hdl.handle.net/1957/59771,"Gordon, Emma",Evaluation of Topical Application of 1% Morphine Sulfate Solution as an Analgesic on the Healthy Equine Eye,2017,-1,Master's,Master of Science (M.S.) in Veterinary Science,16
67009,http://hdl.handle.net/1957/59815,"Shaw, Randi C.",Tree Vigor Response and Competitive Zone Density in Mature Ponderosa Pine,2017,-1,Master's,Master of Science (M.S.) in Forest Ecosystems and Society,53
67093,http://hdl.handle.net/1957/59839,"Evans, Allison N.",The Ecophysiology of Thiamine Deficiency Complex : Evaluating Sources of Thiaminase in Great Lakes Food Webs,2017,-1,Doctoral,Doctor of Philosophy (Ph. D.) in Fisheries Science,6
67064,http://hdl.handle.net/1957/59846,"Allani, Sai Krishna",Analyzing Human Gaze Patterns During Grasping Tasks To Advance Robotic Grasping,2017,-1,Master's,Master of Science (M.S.) in Robotics,6
67067,http://hdl.handle.net/1957/59848,"Sharp, Daniel C. (Daniel Collier)",Factors that Influence the Aroma and Monoterpene Alcohol Profile of Hopped Beer,2017,-1,Doctoral,Doctor of Philosophy (Ph. D.) in Food Science and Technology,9
67085,http://hdl.handle.net/1957/59851,"Maslen, Erika A.",The Impact of Temperature on Halyomorpha halys (Hemiptera: Pentatomidae) Life Table Parameters and Feeding Pressure,2017,-1,Master's,Master of Science (M.S.) in Horticulture,20
67096,http://hdl.handle.net/1957/59863,"Castro, Edgar D.",A State of Practice of Safety and Big Data in Transportation Engineering Curricula and in Transportation Design : How is it Used and How can Academic Offerings Better Represent Industry Practices?,2017,-1,Master's,Master of Science (M.S.) in Civil Engineering,76
67071,http://hdl.handle.net/1957/59865,"Malshe, Harsha A.",A Techno-Economic Assessment Methodology for Advanced Additive and Joining Processes,2017,-1,Master's,Master of Science (M.S.) in Industrial Engineering,82
